iso_o,iso_d,year,FLOWU,FLOWP,fx_GBR
ALB,BGR,1960,1000000,357143,.35714298
ALB,BGR,1961,2000000,714286,.35714298
ALB,BGR,1962,2000000,714286,.35714298
ALB,BGR,1963,2000000,714286,.35714298
ALB,BGR,1964,1000000,357143,.35714298
ALB,BGR,1965,2000000,714286,.35714298
ALB,BGR,1966,3000000,1071429,.35714298
ALB,BGR,1967,6000000,2172620,.36210334
ALB,BGR,1968,6000000,2500002,.41666698
ALB,BGR,1969,6000000,2500002,.41666698
ALB,BGR,1970,6000000,2500002,.41666698
ALB,CZSK,1960,7000000,2500001,.35714298
ALB,CZSK,1961,11000000,3928572.8,.35714298
ALB,CZSK,1962,10000000,3571429.8,.35714298
ALB,CZSK,1963,7000000,2500001,.35714298
ALB,CZSK,1964,11000000,3928572.8,.35714298
ALB,CZSK,1965,10000000,3571429.8,.35714298
ALB,CZSK,1966,14000000,5000002,.35714298
ALB,CZSK,1967,10000000,3621033.5,.36210334
ALB,CZSK,1968,12000000,5000004,.41666698
ALB,CZSK,1969,11000000,4583337,.41666698
ALB,CZSK,1970,18000000,7500005.5,.41666698
ALB,EDEU,1960,4000000,1428572,.35714298
ALB,EDEU,1961,6000000,2142858,.35714298
ALB,EDEU,1962,5000000,1785714.9,.35714298
ALB,EDEU,1963,3000000,1071429,.35714298
ALB,EDEU,1964,6000000,2142858,.35714298
ALB,EDEU,1965,6000000,2142858,.35714298
ALB,EDEU,1966,6000000,2142858,.35714298
ALB,EDEU,1967,6000000,2172620,.36210334
ALB,EDEU,1968,6000000,2500002,.41666698
ALB,EDEU,1969,8000000,3333336,.41666698
ALB,EDEU,1970,6000000,2500002,.41666698
ALB,HUN,1960,4000000,1428572,.35714298
ALB,HUN,1961,3000000,1071429,.35714298
ALB,HUN,1962,2000000,714286,.35714298
ALB,HUN,1963,3000000,1071429,.35714298
ALB,HUN,1964,2000000,714286,.35714298
ALB,HUN,1965,2000000,714286,.35714298
