iso_o,iso_d,year,FLOW,SOURCE_TF
AFG,USSR,1950,579710.31,USSR_IP
AFG,USSR,1951,1964286.4,USSR_IP
AFG,USSR,1952,1876984.8,USSR_IP
AFG,USSR,1953,2488096.3,USSR_IP
AFG,USSR,1954,3230160,USSR_IP
AFG,USSR,1955,4291966,USSR_IP
AFG,USSR,1956,5941966.5,USSR_IP
AFG,USSR,1957,8122324.5,USSR_IP
AFG,USSR,1958,4976192.5,USSR_IP
AFG,USSR,1959,6128573.5,USSR_IP
AFG,USSR,1960,6634923,USSR_IP
AFG,USSR,1961,7726193.5,USSR_IP
AFG,USSR,1962,9952385,USSR_IP
AFG,USSR,1963,7682542.5,USSR_IP
AFG,USSR,1964,8904765,USSR_IP
AFG,USSR,1965,7944448,USSR_IP
AFG,USSR,1966,7376987,USSR_IP
AFG,USSR,1967,8497359,USSR_IP
AFG,USSR,1968,14208344,USSR_IP
AFG,USSR,1969,14004641,USSR_IP
AFG,USSR,1970,15736124,USSR_IP
AFG,USSR,1971,17483456,USSR_IP
AFG,USSR,1972,16474319,USSR_IP
AFG,USSR,1973,21673670,USSR_IP
AFG,USSR,1974,37703360,USSR_IP
AFG,USSR,1975,44288868,USSR_IP
AFG,USSR,1976,54233876,USSR_IP
AFG,USSR,1977,65805688,USSR_IP
AFG,USSR,1978,63613820,USSR_IP
AFG,USSR,1979,110793680,USSR_IP
AFG,USSR,1980,186627216,USSR_IP
AFG,USSR,1981,240637472,USSR_IP
AFG,USSR,1982,241954128,USSR_IP
AFG,USSR,1983,267672512,USSR_IP
AFG,USSR,1984,308775616,USSR_IP
AFG,USSR,1985,331476288,USSR_IP
AFG,USSR,1986,261471760,USSR_IP
AFG,USSR,1987,249738176,USSR_IP
AFG,USSR,1988,188010624,USSR_IP
AGO,USSR,1976,11691136,USSR_IP
AGO,USSR,1977,8946133,USSR_IP
AGO,USSR,1978,8067275,USSR_IP
AGO,USSR,1979,9358378,USSR_IP
AGO,USSR,1980,11473580,USSR_IP
AGO,USSR,1981,6156549,USSR_IP
AGO,USSR,1982,2953838.5,USSR_IP
AGO,USSR,1983,2733344.5,USSR_IP
AGO,USSR,1984,3148698.8,USSR_IP
AGO,USSR,1985,2565605.8,USSR_IP
AGO,USSR,1986,3527624,USSR_IP
AGO,USSR,1987,2234555.5,USSR_IP
AGO,USSR,1988,2746908.5,USSR_IP
ALB,EDEU,1953,363554.28,EDEU_IP
ALB,EDEU,1954,332889.53,EDEU_IP
ALB,EDEU,1955,498400.59,EDEU_IP
ALB,EDEU,1956,760525.25,EDEU_IP
ALB,EDEU,1957,1062160.4,EDEU_IP
ALB,EDEU,1958,1036136.8,EDEU_IP
ALB,EDEU,1959,1783098.9,EDEU_IP
ALB,EDEU,1960,1702381.6,EDEU_IP
ALB,EDEU,1961,2571429.5,EDEU_IP
