iso_o,iso_d,year,FLOW_EDEU,FLOWU,FLOWP,fx_GBR,fx_EDEU
ALB,EDEU,1953,4275396.675000001,1017951.6,363554.28,.35714298,4.1999998
ALB,EDEU,1954,3914779.275000001,932090.38,332889.53,.35714298,4.1999998
ALB,EDEU,1955,5861188.575000001,1395521.1,498400.59,.35714298,4.1999998
ALB,EDEU,1956,8943773.850000002,2129470,760525.25,.35714298,4.1999998
ALB,EDEU,1957,12491000.775,2974048,1062160.4,.35714298,4.1999998
ALB,EDEU,1958,12184964,2901182,1036136.8,.35714298,4.1999998
ALB,EDEU,1959,20969234,4992675,1783098.9,.35714298,4.1999998
ALB,EDEU,1960,20020000,4766667,1702381.6,.35714298,4.1999998
ALB,EDEU,1961,29040000,7200000,2571429.5,.35714298,4.0333333
ALB,EDEU,1962,22110000,5527500,1974107.9,.35714298,4
ALB,EDEU,1963,14080000,3520000,1257143.3,.35714298,4
ALB,EDEU,1964,28270000,7067500,2524108,.35714298,4
ALB,EDEU,1965,27720000,6930000,2475001,.35714298,4
ALB,EDEU,1966,26400000,6600000,2357143.8,.35714298,4
ALB,EDEU,1967,27500000,6875000,2489460.5,.36210334,4
ALB,EDEU,1968,28930000,7232500,3013544,.41666698,4
ALB,EDEU,1969,35530000,9010144,3754229.5,.41666698,3.9433334
ALB,EDEU,1970,29150000,7964480.5,3318536,.41666698,3.6600001
ALB,EDEU,1971,32780000,9345971,3840448.5,.41092023,3.5073936
ALB,EDEU,1972,31350000,9831773,3936548.3,.40039048,3.1886415
ALB,EDEU,1973,27280000,10207289,4166318.8,.40817094,2.6726
ALB,EDEU,1974,46310000.00000001,17895856,7655067.5,.42775643,2.58775
ARG,EDEU,1954,918880.8750000002,218781.17,78136.164,.35714298,4.1999998
ARG,EDEU,1955,7886193.975000002,1877665.4,670595,.35714298,4.1999998
ARG,EDEU,1956,4142476.8,986304.06,352251.56,.35714298,4.1999998
ARG,EDEU,1957,2743928.55,653316.38,233327.36,.35714298,4.1999998
ARG,EDEU,1958,7422965.000000002,1767372.8,631204.75,.35714298,4.1999998
ARG,EDEU,1959,11470921,2731171.8,975418.81,.35714298,4.1999998
ARG,EDEU,1960,12980000,3090476.3,1103741.9,.35714298,4.1999998
ARG,EDEU,1961,13640000,3381818.3,1207792.6,.35714298,4.0333333
ARG,EDEU,1962,4070000.000000001,1017500,363393,.35714298,4
ARG,EDEU,1963,5610000,1402500,500893.03,.35714298,4
ARG,EDEU,1964,16170000,4042500,1443750.5,.35714298,4
ARG,EDEU,1965,6930000.000000001,1732500,618750.25,.35714298,4
ARG,EDEU,1966,1980000,495000,176785.78,.35714298,4
ARG,EDEU,1967,7920000.000000001,1980000,716964.63,.36210334,4
