iso_o,iso_d,year,FLOW_T,FLOW_TU,FLOW_TP,fx_GBR,fx_EDEU
AFG,EDEU,1978,200000,99570.602,51926.523,.52150458,2.008625
AFG,EDEU,1979,8100000,4419266.5,2086694.4,.47218117,1.8328834
AFG,EDEU,1980,19100000,10507977,4521530,.43029499,1.8176666
AFG,EDEU,1981,38700000,17123894,8521557,.49764132,2.26
AFG,EDEU,1982,47800000,19698412,11276293,.57244682,2.4265916
AFG,EDEU,1983,46600000,18251188,12040758,.65972459,2.5532584
AFG,EDEU,1984,43600000,15320060,11517723,.75180668,2.8459418
AFG,EDEU,1985,53900000,18308632,14266928,.77924597,2.9439666
AFG,EDEU,1986,39000000,17960074,12252315,.68219733,2.1714833
AFG,EDEU,1987,55100000,30655534,18758934,.6119265,1.7973917
AFG,EDEU,1988,45300000,25793962,14500595,.56217015,1.756225
AGO,EDEU,1977,236000000,101628496,58260772,.57327199,2.3221834
AGO,EDEU,1978,233700000,116348248,60676144,.52150458,2.008625
AGO,EDEU,1979,311600000,170005360,80273328,.47218117,1.8328834
AGO,EDEU,1980,275000000,151292864,65100560,.43029499,1.8176666
AGO,EDEU,1981,198500000,87831856,43708760,.49764132,2.26
AGO,EDEU,1982,264300000,108918200,62349876,.57244682,2.4265916
AGO,EDEU,1983,255200000,99950712,65939944,.65972459,2.5532584
AGO,EDEU,1984,797800000,280328992,210753200,.75180668,2.8459418
AGO,EDEU,1985,844000000,286688032,223400496,.77924597,2.9439666
AGO,EDEU,1986,428400000,197284496,134586960,.68219733,2.1714833
AGO,EDEU,1987,171900000,95638592,58523788,.6119265,1.7973917
AGO,EDEU,1988,136200000,77552704,43597816,.56217015,1.756225
ALB,EDEU,1953,16457897.25,3918547.3,1399481.6,.35714298,4.1999998
ALB,EDEU,1954,13649242.5,3249819.8,1160650.4,.35714298,4.1999998
ALB,EDEU,1955,31178904.75,7423549,2651268.5,.35714298,4.1999998
ALB,EDEU,1956,27376240.5,6518153,2327912.5,.35714298,4.1999998
ALB,EDEU,1957,29967390,7135093,2548248.5,.35714298,4.1999998
ALB,EDEU,1958,35991690.00000001,8569450,3060519,.35714298,4.1999998
ALB,EDEU,1959,48231760,11483753,4101341.8,.35714298,4.1999998
ALB,EDEU,1960,39200000,9333334,3333334.8,.35714298,4.1999998
ALB,EDEU,1961,42700000,10586777,3780993.3,.35714298,4.0333333
ALB,EDEU,1962,32300000,8075000,2883929.5,.35714298,4
ALB,EDEU,1963,29300000,7325000,2616072.3,.35714298,4
ALB,EDEU,1964,43900000,10975000,3919644.3,.35714298,4
ALB,EDEU,1965,47000000,11750000,4196430,.35714298,4
ALB,EDEU,1966,46700000,11675000,4169644.3,.35714298,4
ALB,EDEU,1967,54700000,13675000,4951763,.36210334,4
ALB,EDEU,1968,54400000.00000001,13600000,5666671,.41666698,4
ALB,EDEU,1969,63800000,16179205,6741340.5,.41666698,3.9433334
ALB,EDEU,1970,52300000,14289617,5954011.5,.41666698,3.6600001
ALB,EDEU,1971,62300000,17762478,7298961.5,.41092023,3.5073936
ALB,EDEU,1972,61500000,19287210,7722415,.40039048,3.1886415
ALB,EDEU,1973,58400000.00000001,21851380,8919098,.40817094,2.6726
ALB,EDEU,1974,78700000,30412522,13009152,.42775643,2.58775
ALB,EDEU,1975,81500000,33126154,14974386,.45204118,2.4602916
ALB,EDEU,1976,63200000,25099286,13968000,.55650985,2.5179999
ALB,EDEU,1977,71000000,30574674,17527604,.57327199,2.3221834
ALB,EDEU,1978,74900000,37289188,19446482,.52150458,2.008625
ALB,EDEU,1979,115300000,62906348,29703194,.47218117,1.8328834
ALB,EDEU,1980,115000000,63267928,27223872,.43029499,1.8176666
ALB,EDEU,1981,121200000,53628320,26687668,.49764132,2.26
ALB,EDEU,1982,135500000,55839640,31965224,.57244682,2.4265916
ALB,EDEU,1983,159600000,62508360,41238304,.65972459,2.5532584
ALB,EDEU,1984,161400000,56712332,42636708,.75180668,2.8459418
ALB,EDEU,1985,156100000,53023700,41318504,.77924597,2.9439666
ALB,EDEU,1986,177300000,81649256,55700904,.68219733,2.1714833
ALB,EDEU,1987,190800000,106153824,64958336,.6119265,1.7973917
ALB,EDEU,1988,261100000,148671152,83578480,.56217015,1.756225
