iso_o,iso_d,year,FLOW_USSR,FLOWU,FLOWP,fx_GBR,fx_USSR
AFG,USSR,1950,1540000,1623188.4,579710.31,.35714298,.94875002
AFG,USSR,1951,4950000,5500000,1964286.4,.35714298,.89999998
AFG,USSR,1952,4730000,5255555.5,1876984.8,.35714298,.89999998
AFG,USSR,1953,6270000.000000001,6966667,2488096.3,.35714298,.89999998
AFG,USSR,1954,8140000.000000001,9044445,3230160,.35714298,.89999998
AFG,USSR,1955,10815750,12017500,4291966,.35714298,.89999998
AFG,USSR,1956,14973750,16637500,5941966.5,.35714298,.89999998
AFG,USSR,1957,20468250,22742500,8122324.5,.35714298,.89999998
AFG,USSR,1958,12540000,13933334,4976192.5,.35714298,.89999998
AFG,USSR,1959,15444000,17160000,6128573.5,.35714298,.89999998
AFG,USSR,1960,16720000,18577778,6634923,.35714298,.89999998
AFG,USSR,1961,19470000,21633334,7726193.5,.35714298,.89999998
AFG,USSR,1962,25080000,27866668,9952385,.35714298,.89999998
AFG,USSR,1963,19360000,21511112,7682542.5,.35714298,.89999998
AFG,USSR,1964,22440000,24933334,8904765,.35714298,.89999998
AFG,USSR,1965,20020000,22244446,7944448,.35714298,.89999998
AFG,USSR,1966,18590000,20655556,7376987,.35714298,.89999998
AFG,USSR,1967,21120000,23466668,8497359,.36210334,.89999998
AFG,USSR,1968,30690000,34100000,14208344,.41666698,.89999998
AFG,USSR,1969,30250000,33611112,14004641,.41666698,.89999998
AFG,USSR,1970,33990000,37766668,15736124,.41666698,.89999998
AFG,USSR,1971,38060000,42547080,17483456,.41092023,.89453846
AFG,USSR,1972,33880000,41145632,16474319,.40039048,.82341665
AFG,USSR,1973,39380000,53099492,21673670,.40817094,.74162668
AFG,USSR,1974,66660000.00000001,88142128,37703360,.42775643,.75627857
AFG,USSR,1975,70730000,97975296,44288868,.45204118,.72191668
AFG,USSR,1976,73480000,97453576,54233876,.55650985,.75400001
AFG,USSR,1977,84150000,114789648,65805688,.57327199,.73308003
AFG,USSR,1978,83270000,121981328,63613820,.52150458,.68264544
AFG,USSR,1979,153670000,234642304,110793680,.47218117,.65491176
AFG,USSR,1980,282700000,433719232,186627216,.43029499,.65180415
AFG,USSR,1981,348260000,483556032,240637472,.49764132,.72020608
AFG,USSR,1982,306350000,422666560,241954128,.57244682,.72480303
AFG,USSR,1983,301620000,405733728,267672512,.65972459,.74339396
AFG,USSR,1984,334400000,410711456,308775616,.75180668,.81419694
AFG,USSR,1985,355300000,425380800,331476288,.77924597,.83525163
AFG,USSR,1986,269060000,383278784,261471760,.68219733,.70199555
AFG,USSR,1987,258170000,408117920,249738176,.6119265,.63258678
AFG,USSR,1988,203280000,334437216,188010624,.56217015,.60782707
AGO,USSR,1976,15840000,21007958,11691136,.55650985,.75400001
AGO,USSR,1977,11440000,15605390,8946133,.57327199,.73308003
AGO,USSR,1978,10560000,15469231,8067275,.52150458,.68264544
AGO,USSR,1979,12980000,19819464,9358378,.47218117,.65491176
AGO,USSR,1980,17380000,26664452,11473580,.43029499,.65180415
AGO,USSR,1981,8910000,12371459,6156549,.49764132,.72020608
AGO,USSR,1982,3740000.000000001,5160022.5,2953838.5,.57244682,.72480303
AGO,USSR,1983,3080000.000000001,4143159.8,2733344.5,.65972459,.74339396
AGO,USSR,1984,3410000.000000001,4188176,3148698.8,.75180668,.81419694
AGO,USSR,1985,2750000,3292421,2565605.8,.77924597,.83525163
AGO,USSR,1986,3630000.000000001,5170973,3527624,.68219733,.70199555
AGO,USSR,1987,2310000,3651673,2234555.5,.6119265,.63258678
AGO,USSR,1988,2970000.000000001,4886258,2746908.5,.56217015,.60782707
ALB,USSR,1955,5420250,6022500,2150893.8,.35714298,.89999998
ALB,USSR,1956,8140000.000000001,9044445,3230160,.35714298,.89999998
ALB,USSR,1957,13959000,15510000,5539287.5,.35714298,.89999998
ALB,USSR,1958,13909500,15455000,5519645,.35714298,.89999998
ALB,USSR,1959,14602500,16225000,5794645,.35714298,.89999998
ALB,USSR,1960,23980000,26644446,9515877,.35714298,.89999998
ALB,USSR,1961,21560000,23955556,8555559,.35714298,.89999998
ARG,USSR,1950,110000,115942.02,41407.879,.35714298,.94875002
ARG,USSR,1953,7590000.000000001,8433334,3011906,.35714298,.89999998
ARG,USSR,1954,40590000,45100000,16107149,.35714298,.89999998
ARG,USSR,1955,27830000,30922224,11043655,.35714298,.89999998
ARG,USSR,1956,12820500,14245000,5087502,.35714298,.89999998
ARG,USSR,1957,20680000,22977778,8206352,.35714298,.89999998
ARG,USSR,1958,15889500,17655000,6305359.5,.35714298,.89999998
ARG,USSR,1959,27621000,30690000,10960718,.35714298,.89999998
ARG,USSR,1960,21450000,23833334,8511908,.35714298,.89999998
ARG,USSR,1961,19690000,21877778,7813495,.35714298,.89999998
ARG,USSR,1962,9680000,10755556,3841271.3,.35714298,.89999998
ARG,USSR,1963,18260000,20288890,7246034.5,.35714298,.89999998
ARG,USSR,1964,19690000,21877778,7813495,.35714298,.89999998
ARG,USSR,1965,71280000,79200000,28285724,.35714298,.89999998
ARG,USSR,1966,106260000,118066672,42166684,.35714298,.89999998
ARG,USSR,1967,22880000,25422222,9205472,.36210334,.89999998
ARG,USSR,1968,28380000,31533334,13138899,.41666698,.89999998
ARG,USSR,1969,25300000,28111112,11712972,.41666698,.89999998
ARG,USSR,1970,31020000,34466668,14361123,.41666698,.89999998
